priority,score,path,title,verticals,workflow_roles,has_howto,has_actions,has_report_capability,howto_matches,action_matches,report_matches,pain_matches,button_count,link_count,input_count
CRITICAL,100,html/construction-suite/contruction-pro.html,AuditOps // Sovereign Core · TSM,"construction, legal, logistics, finance, itops, vendor","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, guide, next step, steps","upload, analyze, analysis, run, review, export, download, report, send, save, create, open, launch, continue, start","report, export, download, summary, executive, letter","risk, exposure, compliance, overdue, delay, cost, waste, error, sla, audit, missing, recovery",27,3,3
CRITICAL,100,html/construction-suite/how-to.html,Construction Suite · How To Guide · TSM,"construction, insurance, legal, logistics, finance, itops, vendor","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, INTAKE / DATA ENTRY",True,True,True,"how to, getting started, workflow, guide, steps","upload, analyze, analysis, run, review, resolve, export, report, send, save, open, launch, start","report, export, pdf, csv, xlsx, summary, executive, brief, letter, package","risk, loss, exposure, compliance, delay, cost, revenue, anomaly, failure, audit, missing, unresolved, recovery",10,15,0
CRITICAL,100,html/construction-suite/tsm-construction-command.html,TSM Construction Command Suite — Autonomous Project Intelligence,"construction, insurance, legal, logistics, finops, itops, supplier, vendor","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"start here, workflow, steps","upload, import, analyze, analysis, run, execute, submit, review, approve, escalate, resolve, generate, export, report, send, create, open, launch, start","report, export, pdf, deck, summary, executive, brief, letter, package","risk, loss, exposure, compliance, overdue, delay, cost, error, sla, audit, missing, unresolved",4,47,3
CRITICAL,100,html/construction-suite/zero-trust.html,TSM Zero-Trust | Enterprise Access Command,"construction, mortgage, legal, hotel, hotelops, finance, finops, tax","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, guide, instructions, next step, steps","import, analyze, analysis, run, submit, review, approve, assign, escalate, generate, export, report, send, create, open, launch, start","report, export, csv, letter, package","risk, leak, exposure, compliance, overdue, cost, error, anomaly, sla, audit, missing",82,12,10
CRITICAL,100,html/finops-command-suite-v2.html,TSM FinOps Command Suite — Autonomous Financial Intelligence,"construction, mortgage, legal, hotel, hotelops, finops, tax, itops","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how-to, start here, workflow, guide, steps","upload, analyze, analysis, run, execute, submit, review, approve, generate, report, save, open, launch, start","report, pdf, csv, excel, summary, executive, brief, letter","risk, exception, denial, compliance, overdue, bottleneck, delay, revenue, error, anomaly, sla, audit, missing",2,52,1
CRITICAL,100,html/finops-main-strategist.html,TSM · FinOps Main Strategist · Controller Action Plan,"logistics, finance, finops, tax, vendor, approval","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, workflow, guide, steps","upload, import, analyze, analysis, run, execute, submit, review, approve, assign, escalate, generate, export, download, report, send, save, create, open, continue, start","report, export, download, pdf, csv, xlsx, summary, executive, snapshot, brief, letter, package","risk, loss, exposure, exception, compliance, overdue, revenue, error, anomaly, sla, audit, missing, recovery, opportunity",35,23,6
CRITICAL,100,html/finops-suite/compliance.html,TSM Compliance Command | AI-Powered Regulatory Intelligence,"construction, insurance, legal, finance, finops, tax, itops, vendor","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, workflow, guide, quick start, steps","upload, import, analyze, analysis, run, review, assign, resolve, generate, export, report, send, save, create, open, launch, start","report, export, pdf, csv, xlsx, summary, executive, letter","risk, exposure, exception, compliance, overdue, delay, error, anomaly, failure, sla, audit, missing, unresolved, recovery",49,3,16
CRITICAL,100,html/finops-suite/doc-analysis-tab.html,TSM · FinOps Intelligence · Document Processor,"insurance, logistics, finance, finops, tax, vendor, approval","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, INTAKE / DATA ENTRY",True,True,True,"how to, workflow, next step, steps","upload, import, analyze, analysis, run, review, resolve, report, send, save, open, continue, start","report, pdf, csv, xlsx, summary, executive, brief, letter","risk, exposure, exception, compliance, overdue, delay, revenue, error, sla, audit, missing, recovery",13,18,6
CRITICAL,100,html/finops-suite/financial-ui.html,TSM Financial Operations · Start Here,"healthcare, construction, insurance, finance, finops, tax, itops, vendor","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, start here, workflow, guide, quick start, next step, steps","upload, analyze, analysis, run, review, escalate, generate, export, report, presentation, send, save, create, open, launch, start","report, export, pdf, csv, excel, presentation, summary, executive, snapshot, brief, letter, package","risk, exposure, exception, compliance, overdue, delay, cost, error, sla, audit, missing",34,5,0
CRITICAL,100,html/finops-suite/finops-accounting.html,TSM FinOps · Financial Accounting Command,"finance, finops, tax, vendor, approval","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, workflow, instructions","upload, import, analyze, analysis, run, review, approve, generate, export, download, report, save, create, open, start","report, export, download, csv, summary, executive, letter","risk, exception, compliance, overdue, cost, revenue, error, sla, audit, missing",26,4,2
CRITICAL,100,html/finops-suite/finops-main-strategist/index.html,TSM · FinOps Main Strategist · Controller Action Plan,"logistics, finops, tax, vendor, approval","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"workflow, next step, steps","upload, import, analyze, analysis, run, submit, review, approve, escalate, resolve, generate, export, download, report, send, save, create, open, launch, continue, start","report, export, download, pdf, csv, xlsx, summary, executive, snapshot, brief, letter","risk, exposure, exception, compliance, overdue, delay, cost, revenue, error, audit, missing, unresolved, opportunity",41,0,7
CRITICAL,100,html/finops-suite/finops-operations.html,TSM FinOps · Operations Suite,"construction, insurance, hotel, finance, finops, tax, itops, property","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"workflow, guide","upload, import, analyze, analysis, run, submit, review, approve, reject, assign, escalate, resolve, generate, export, report, send, save, create, open, launch, continue, start","report, export, pdf, csv, xlsx, excel, deck, summary, executive, proposal, letter","risk, exposure, exception, compliance, overdue, backlog, cost, revenue, error, anomaly, sla, audit, missing, unresolved",69,2,35
CRITICAL,100,html/finops-suite/finops-war/finops-main-strategist.html,TSM · FinOps Main Strategist · Controller Action Plan,"healthcare, bpo, insurance, legal, logistics, finance, finops, tax","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"workflow, steps","upload, import, analysis, run, execute, submit, review, approve, assign, escalate, resolve, generate, export, download, report, send, save, create, open, continue, start","report, export, download, pdf, csv, xlsx, summary, executive, snapshot, brief, letter, package","risk, exposure, exception, compliance, overdue, revenue, error, anomaly, sla, audit, missing, recovery, opportunity",34,24,6
CRITICAL,100,html/finops-suite/finops-war/finops-war-room.html,FinOps War Room · TSM,"healthcare, insurance, legal, finance, finops, tax, vendor, approval","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, workflow, guide, steps","upload, analyze, analysis, run, review, approve, reject, assign, escalate, resolve, generate, export, download, report, send, save, create, open, launch, continue, start","report, export, download, pdf, summary, executive, snapshot, brief, letter, package","risk, exposure, exception, denial, compliance, overdue, cost, revenue, error, anomaly, failure, sla, audit, missing, recovery",40,3,1
CRITICAL,100,html/finops-suite/how-to-finops.html,FinOps Suite — How To Guide,"healthcare, finops, tax, vendor, crm, approval","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, getting started, workflow, user guide, guide, what to do, next step, steps","upload, analyze, analysis, run, review, approve, assign, resolve, generate, export, download, report, presentation, send, save, open, launch, start","report, export, download, pdf, csv, xlsx, presentation, deck, summary, executive, snapshot, brief, letter, package","risk, exposure, exception, compliance, overdue, cost, revenue, sla, audit, missing",29,2,0
CRITICAL,100,html/finops-suite/how-to.html,FinOps Suite · How To Guide · TSM,"legal, logistics, finops, tax, vendor, crm, approval","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, getting started, start here, workflow, guide, instructions, next step, steps","analysis, run, submit, review, approve, escalate, resolve, generate, export, report, send, save, open, launch, start","report, export, pdf, csv, xlsx, summary, executive, brief, letter, package","risk, exposure, exception, denial, compliance, overdue, delay, revenue, audit, missing, unresolved",3,15,0
CRITICAL,100,html/finops-suite/staff-accountant-interview.html,TSM FinOps · Staff Accountant Interview Suite,"insurance, legal, logistics, finance, finops, tax, property, vendor","INTAKE / ANALYSIS, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, getting started, workflow, guide, steps","upload, import, run, submit, review, approve, escalate, resolve, generate, export, download, report, create, open, start","report, export, download, pdf, csv, excel, deck, summary, executive, letter, package","risk, leak, loss, exception, compliance, overdue, cost, revenue, error, sla, audit, missing, recovery",62,0,12
CRITICAL,100,html/finops-suite/tsm-finops-pitch.html,TSM FinOps Intelligence Suite — Client Demo,"healthcare, finance, finops, tax, vendor, crm, approval","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, INTAKE / DATA ENTRY",True,True,True,"start here, workflow, guide, next step, steps","analysis, run, review, assign, generate, export, report, send, save, open, launch, start","report, export, pdf, summary, executive, brief, letter","risk, exposure, exception, compliance, overdue, cost, revenue, error, audit, missing, recovery, opportunity",1,34,0
CRITICAL,100,html/finops-suite/tsm-rcm-os-howto.html,TSM RCM OS — How-To Guide,"construction, insurance, legal, logistics, finance, finops, tax, supplier","INTAKE / ANALYSIS, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, start here, guide, steps","upload, import, analyze, analysis, run, review, approve, escalate, resolve, generate, export, download, report, send, save, create, open, start","report, export, download, pdf, summary, executive, snapshot, brief, letter, package","risk, loss, exposure, exception, compliance, cost, revenue, anomaly, audit, missing",0,22,0
CRITICAL,100,html/finops-suite/tsm-rcm-os.html,TSM RCM OS — Reconciliation Command Center,"healthcare, construction, bpo, insurance, legal, logistics, finance, finops","INTAKE / ANALYSIS, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, workflow, guide, what to do, steps","import, analyze, analysis, run, submit, review, approve, assign, escalate, resolve, generate, export, download, report, presentation, send, save, create, open, start","report, export, download, presentation, summary, executive, snapshot, brief, letter, package","risk, exposure, exception, compliance, bottleneck, delay, cost, revenue, anomaly, sla, audit, missing, unresolved",5,3,0
CRITICAL,100,html/finops-suite/zero-trust.html,TSM Zero-Trust | Enterprise Access Command,"construction, mortgage, legal, hotel, hotelops, finance, finops, tax","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, guide, instructions, next step, steps","import, analyze, analysis, run, submit, review, approve, assign, escalate, generate, export, report, send, create, open, launch, start","report, export, csv, letter, package","risk, leak, exposure, compliance, overdue, cost, error, anomaly, sla, audit, missing",81,12,9
CRITICAL,100,html/healthcare/executive-portal.html,TSM · RCM Executive Command,"healthcare, construction, bpo, mortgage, real estate, insurance, legal, finops","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, INTAKE / DATA ENTRY",True,True,True,"workflow, guide, what to do, steps","analyze, analysis, run, submit, review, approve, assign, escalate, resolve, generate, export, download, report, send, save, create, open, start","report, export, download, summary, executive, snapshot, brief, proposal, letter, package","risk, leak, loss, exposure, exception, denial, compliance, overdue, cost, revenue, error, anomaly, sla, audit, missing, recovery",11,0,0
CRITICAL,100,html/healthcare/hc-compliance/index.html,HC COMPLIANCE COMMAND · TSM Healthcare,"healthcare, insurance, legal, approval","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"start here, workflow, guide, instructions, steps","analyze, analysis, run, execute, submit, review, assign, escalate, generate, export, report, create, open, start","report, export, summary, executive, snapshot, brief, letter","risk, exposure, exception, denial, compliance, overdue, delay, revenue, error, anomaly, sla, audit, missing",50,1,12
CRITICAL,100,html/healthcare/hc-denial-war-room.html,TSM · Denial Recovery War Room,"healthcare, construction, bpo, insurance, legal, finops, itops, vendor","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, workflow, guide, instructions, next step, steps","upload, analyze, analysis, run, execute, submit, review, escalate, resolve, generate, export, download, report, presentation, send, save, create, open, launch, continue, start","report, export, download, pdf, csv, xlsx, excel, presentation, summary, executive, brief, letter","risk, leak, exposure, denial, compliance, overdue, delay, cost, revenue, error, anomaly, failure, sla, audit, missing, recovery",27,4,1
CRITICAL,100,html/healthcare/hc-grants/index.html,HC GRANTS COMMAND · TSM Healthcare,healthcare,"INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"workflow, guide, steps","analysis, run, submit, review, assign, escalate, generate, report, presentation, create, open, launch, start","report, presentation, summary, executive, snapshot, brief, letter, package","risk, exposure, compliance, overdue, bottleneck, delay, cost, error, anomaly, audit, missing, recovery",53,1,12
CRITICAL,100,html/healthcare/hc-insurance/index.html,HC INSURANCE COMMAND · TSM Healthcare,"healthcare, insurance, legal","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"start here, guide, instructions, steps","analyze, analysis, run, submit, review, assign, escalate, resolve, generate, export, report, create, open, start","report, export, summary, executive, snapshot, brief, letter","risk, exposure, denial, compliance, backlog, delay, revenue, error, anomaly, sla, audit, recovery",51,1,13
CRITICAL,100,html/healthcare/hc-legal/index.html,HC LEGAL COMMAND · TSM Healthcare,"healthcare, insurance, legal","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"start here, workflow, guide, instructions, steps","analysis, run, execute, submit, review, assign, escalate, generate, export, report, create, open, start","report, export, summary, executive, snapshot, brief, letter","risk, exposure, denial, compliance, overdue, backlog, revenue, error, anomaly, sla, audit, recovery",50,1,12
CRITICAL,100,html/healthcare/hc-medical/index.html,HC MEDICAL COMMAND · TSM Healthcare,"healthcare, approval","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"start here, guide, instructions, steps","analyze, analysis, run, submit, review, assign, escalate, generate, export, report, presentation, create, open, launch, start","report, export, presentation, summary, snapshot, brief, letter","risk, loss, exposure, denial, compliance, backlog, delay, revenue, error, anomaly, failure, sla, audit, missing",51,1,11
CRITICAL,100,html/healthcare/hc-strategist/index.html,HC STRATEGIST · TSM Healthcare Full System,"healthcare, construction, bpo, insurance, legal, tax, itops, property","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, workflow, guide, what to do, steps","import, analyze, analysis, run, submit, review, assign, escalate, resolve, generate, export, download, report, presentation, send, save, create, open, launch, continue, start","report, export, download, presentation, summary, executive, snapshot, brief, letter","risk, leak, exposure, exception, denial, compliance, overdue, backlog, bottleneck, delay, cost, revenue, error, anomaly, sla, audit, missing, unresolved, recovery, opportunity",34,0,11
CRITICAL,100,html/healthcare/hc-taxprep/index.html,HC TAX PREP COMMAND · TSM Healthcare,"healthcare, legal, tax","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"start here, workflow, guide, steps","analysis, run, submit, review, assign, escalate, resolve, generate, export, report, create, open, launch, start","report, export, summary, snapshot, brief, letter","risk, exposure, exception, denial, compliance, backlog, bottleneck, delay, revenue, error, anomaly, failure, sla, audit, missing, unresolved, recovery",50,1,11
CRITICAL,100,html/l1-copilot/l1-ticket-copilot.html,TSM L1 Ticket Copilot,"healthcare, construction, real estate, insurance, legal, finance, finops, itops","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, workflow, guide, next step, steps","import, analyze, analysis, run, submit, review, reject, assign, escalate, resolve, generate, report, presentation, send, save, create, open, launch, start","report, pdf, presentation, summary, snapshot, brief, letter, package","risk, loss, denial, compliance, delay, cost, revenue, error, anomaly, failure, sla, audit, missing, recovery",49,9,24
CRITICAL,100,html/legal-pro/legal-trust.html,TSM Zero-Trust | Enterprise Access Command,"construction, mortgage, legal, hotel, hotelops, finance, finops, tax","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, guide, instructions, next step, steps","import, analyze, analysis, run, submit, review, approve, assign, escalate, generate, export, report, send, create, open, launch, start","report, export, csv, letter, package","risk, leak, exposure, compliance, overdue, cost, error, anomaly, sla, audit, missing",81,12,9
CRITICAL,100,html/reo-pro/index.html,RealtyOps AI | Real Estate Intelligence Command Center,"healthcare, construction, bpo, mortgage, real estate, insurance, legal, schools","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, getting started, workflow, user guide, guide, instructions","upload, import, analyze, analysis, run, submit, review, assign, resolve, generate, report, presentation, send, save, create, open, launch, start","report, pdf, csv, presentation, summary, executive, snapshot, brief, proposal, letter, package","risk, leak, loss, exposure, exception, denial, compliance, overdue, delay, cost, revenue, waste, error, sla, audit, missing, unresolved, opportunity",52,11,23
CRITICAL,100,html/reo-pro/re-guide.html,TSM // RE PLATFORM GUIDE,"bpo, mortgage, real estate, insurance, legal, finance, finops, property","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, workflow, guide, instructions, what to do, steps","upload, import, analyze, analysis, run, review, assign, escalate, generate, export, report, send, save, create, open, start","report, export, pdf, csv, xlsx, summary, executive, snapshot, brief, letter, package","risk, loss, exposure, denial, compliance, delay, cost, revenue, waste, error, failure, sla, audit, missing, opportunity",0,4,0
CRITICAL,100,html/suite-builder.html,TSM · Presentation Suite Builder,"healthcare, construction, bpo, mortgage, real estate, insurance, legal, schools","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, how-to, workflow, guide, what to do, next step, steps","upload, analysis, run, execute, submit, review, assign, resolve, generate, export, report, presentation, send, save, create, open, launch, start","report, export, pdf, presentation, deck, summary, executive, brief, proposal, letter, package","risk, exposure, exception, denial, compliance, bottleneck, delay, cost, revenue, error, anomaly, failure, sla, audit, missing, recovery, opportunity",20,0,5
CRITICAL,100,html/tsm-bpo-daily-workflow-gtm.html,TSM BPO DAILY WORKFLOW,"healthcare, construction, bpo, insurance, legal, finops, tax, property","INTAKE / ANALYSIS, DECISION / STRATEGY, EXECUTIVE / OUTCOME, REPORT / DELIVERY, AI / COPILOT, INTAKE / DATA ENTRY",True,True,True,"how to, workflow, next step, steps","import, analyze, analysis, run, submit, review, approve, reject, assign, escalate, generate, report, presentation, send, create, open, launch, start","report, pdf, presentation, summary, executive, snapshot, brief, letter, package","risk, loss, exposure, exception, denial, compliance, overdue, backlog, delay, cost, revenue, error, anomaly, sla, audit, missing, recovery",100,0,5
